Binary value;Hour;Month;Day;Hour of day
0;484;1;21;4
0;485;1;21;5
0;486;1;21;6
0;487;1;21;7
0;488;1;21;8
0;489;1;21;9
0;490;1;21;10
0;491;1;21;11
0;492;1;21;12
0;493;1;21;13
0;494;1;21;14
0;495;1;21;15
0;496;1;21;16
0;497;1;21;17
0;498;1;21;18
0;499;1;21;19
0;500;1;21;20
0;501;1;21;21
0;502;1;21;22
0;503;1;21;23
0;504;1;21;24
0;505;1;22;1
0;506;1;22;2
0;507;1;22;3
0;508;1;22;4
0;509;1;22;5
0;510;1;22;6
0;511;1;22;7
0;512;1;22;8
0;513;1;22;9
0;514;1;22;10
0;515;1;22;11
0;516;1;22;12
0;517;1;22;13
0;518;1;22;14
0;519;1;22;15
0;520;1;22;16
0;521;1;22;17
0;522;1;22;18
0;523;1;22;19
0;524;1;22;20
0;525;1;22;21
0;526;1;22;22
0;527;1;22;23
0;528;1;22;24
0;529;1;23;1
0;530;1;23;2
0;531;1;23;3
0;532;1;23;4
0;533;1;23;5
0;534;1;23;6
0;535;1;23;7
0;536;1;23;8
0;537;1;23;9
0;538;1;23;10
0;539;1;23;11
0;540;1;23;12
0;541;1;23;13
0;542;1;23;14
0;543;1;23;15
0;544;1;23;16
0;545;1;23;17
0;546;1;23;18
0;547;1;23;19
0;548;1;23;20
0;549;1;23;21
0;550;1;23;22
0;551;1;23;23
0;552;1;23;24
0;553;1;24;1
0;554;1;24;2
0;555;1;24;3
0;556;1;24;4
0;557;1;24;5
0;558;1;24;6
0;559;1;24;7
0;560;1;24;8
0;561;1;24;9
0;562;1;24;10
0;563;1;24;11
0;564;1;24;12
0;565;1;24;13
0;566;1;24;14
0;567;1;24;15
0;568;1;24;16
0;569;1;24;17
0;570;1;24;18
0;571;1;24;19
0;572;1;24;20
0;573;1;24;21
0;574;1;24;22
0;575;1;24;23
0;576;1;24;24
0;577;1;25;1
0;578;1;25;2
0;579;1;25;3
0;580;1;25;4
0;581;1;25;5
0;582;1;25;6
0;583;1;25;7
0;584;1;25;8
0;585;1;25;9
0;586;1;25;10
0;587;1;25;11
0;588;1;25;12
0;589;1;25;13
0;590;1;25;14
0;591;1;25;15
0;592;1;25;16
0;593;1;25;17
0;594;1;25;18
0;595;1;25;19
0;596;1;25;20
0;597;1;25;21
0;598;1;25;22
0;599;1;25;23
0;600;1;25;24
0;601;1;26;1
0;602;1;26;2
0;603;1;26;3
0;604;1;26;4
0;605;1;26;5
0;606;1;26;6
0;607;1;26;7
0;608;1;26;8
0;609;1;26;9
0;610;1;26;10
0;611;1;26;11
0;612;1;26;12
0;613;1;26;13
0;614;1;26;14
0;615;1;26;15
0;616;1;26;16
0;617;1;26;17
0;618;1;26;18
0;619;1;26;19
0;620;1;26;20
0;621;1;26;21
0;622;1;26;22
0;623;1;26;23
0;624;1;26;24
0;625;1;27;1
0;626;1;27;2
0;627;1;27;3
0;628;1;27;4
0;629;1;27;5
0;630;1;27;6
0;631;1;27;7
0;632;1;27;8
0;633;1;27;9
0;634;1;27;10
0;635;1;27;11
0;636;1;27;12
0;637;1;27;13
0;638;1;27;14
0;639;1;27;15
0;640;1;27;16
0;641;1;27;17
0;642;1;27;18
0;643;1;27;19
0;644;1;27;20
0;645;1;27;21
0;646;1;27;22
0;647;1;27;23
0;648;1;27;24
0;649;1;28;1
0;650;1;28;2
0;651;1;28;3
0;652;1;28;4
0;653;1;28;5
0;654;1;28;6
0;655;1;28;7
0;656;1;28;8
0;657;1;28;9
0;658;1;28;10
0;659;1;28;11
0;660;1;28;12
0;661;1;28;13
0;662;1;28;14
0;663;1;28;15
0;664;1;28;16
0;665;1;28;17
0;666;1;28;18
0;667;1;28;19
0;668;1;28;20
0;669;1;28;21
0;670;1;28;22
0;671;1;28;23
0;672;1;28;24
0;673;1;29;1
0;674;1;29;2
0;675;1;29;3
0;676;1;29;4
0;677;1;29;5
0;678;1;29;6
0;679;1;29;7
0;680;1;29;8
0;681;1;29;9
0;682;1;29;10
0;683;1;29;11
0;684;1;29;12
0;685;1;29;13
0;686;1;29;14
0;687;1;29;15
0;688;1;29;16
0;689;1;29;17
0;690;1;29;18
0;691;1;29;19
0;692;1;29;20
0;693;1;29;21
0;694;1;29;22
0;695;1;29;23
0;696;1;29;24
0;697;1;30;1
0;698;1;30;2
0;699;1;30;3
0;700;1;30;4
0;701;1;30;5
0;702;1;30;6
0;703;1;30;7
0;704;1;30;8
0;705;1;30;9
0;706;1;30;10
0;707;1;30;11
0;708;1;30;12
0;709;1;30;13
0;710;1;30;14
0;711;1;30;15
0;712;1;30;16
0;713;1;30;17
0;714;1;30;18
0;715;1;30;19
0;716;1;30;20
0;717;1;30;21
0;718;1;30;22
0;719;1;30;23
0;720;1;30;24
0;721;1;31;1
0;722;1;31;2
0;723;1;31;3
0;724;1;31;4
0;725;1;31;5
0;726;1;31;6
0;727;1;31;7
0;728;1;31;8
0;729;1;31;9
0;730;1;31;10
0;731;1;31;11
0;732;1;31;12
0;733;1;31;13
0;734;1;31;14
0;735;1;31;15
0;736;1;31;16
0;737;1;31;17
0;738;1;31;18
0;739;1;31;19
0;740;1;31;20
0;741;1;31;21
0;742;1;31;22
0;743;1;31;23
0;744;1;31;24
0;745;2;1;1
0;746;2;1;2
0;747;2;1;3
0;748;2;1;4
0;749;2;1;5
0;750;2;1;6
0;751;2;1;7
0;752;2;1;8
0;753;2;1;9
0;754;2;1;10
0;755;2;1;11
0;756;2;1;12
0;757;2;1;13
0;758;2;1;14
0;759;2;1;15
0;760;2;1;16
0;761;2;1;17
0;762;2;1;18
0;763;2;1;19
0;764;2;1;20
0;765;2;1;21
0;766;2;1;22
0;767;2;1;23
0;768;2;1;24
0;769;2;2;1
0;770;2;2;2
0;771;2;2;3
0;772;2;2;4
0;773;2;2;5
0;774;2;2;6
0;775;2;2;7
0;776;2;2;8
0;777;2;2;9
0;778;2;2;10
0;779;2;2;11
0;780;2;2;12
0;781;2;2;13
0;782;2;2;14
0;783;2;2;15
0;784;2;2;16
0;785;2;2;17
0;786;2;2;18
0;787;2;2;19
0;788;2;2;20
0;789;2;2;21
0;790;2;2;22
0;791;2;2;23
0;792;2;2;24
0;793;2;3;1
0;794;2;3;2
0;795;2;3;3
0;796;2;3;4
0;797;2;3;5
0;798;2;3;6
0;799;2;3;7
0;800;2;3;8
0;801;2;3;9
0;802;2;3;10
0;803;2;3;11
0;804;2;3;12
0;805;2;3;13
0;806;2;3;14
0;807;2;3;15
0;808;2;3;16
0;809;2;3;17
0;810;2;3;18
0;811;2;3;19
0;812;2;3;20
0;813;2;3;21
0;814;2;3;22
0;815;2;3;23
0;816;2;3;24
0;817;2;4;1
0;818;2;4;2
0;819;2;4;3
0;820;2;4;4
0;821;2;4;5
0;822;2;4;6
0;823;2;4;7
0;824;2;4;8
0;825;2;4;9
0;826;2;4;10
0;827;2;4;11
0;828;2;4;12
0;829;2;4;13
0;830;2;4;14
0;831;2;4;15
0;832;2;4;16
0;833;2;4;17
0;834;2;4;18
0;835;2;4;19
0;836;2;4;20
0;837;2;4;21
0;838;2;4;22
0;839;2;4;23
0;840;2;4;24
0;841;2;5;1
0;842;2;5;2
0;843;2;5;3
0;844;2;5;4
0;845;2;5;5
0;846;2;5;6
0;847;2;5;7
0;848;2;5;8
0;849;2;5;9
0;850;2;5;10
0;851;2;5;11
0;852;2;5;12
0;853;2;5;13
0;854;2;5;14
0;855;2;5;15
0;856;2;5;16
0;857;2;5;17
0;858;2;5;18
0;859;2;5;19
0;860;2;5;20
0;861;2;5;21
0;862;2;5;22
0;863;2;5;23
0;864;2;5;24
0;865;2;6;1
0;866;2;6;2
0;867;2;6;3
0;868;2;6;4
0;869;2;6;5
0;870;2;6;6
0;871;2;6;7
0;872;2;6;8
0;873;2;6;9
0;874;2;6;10
0;875;2;6;11
0;876;2;6;12
0;877;2;6;13
0;878;2;6;14
0;879;2;6;15
0;880;2;6;16
0;881;2;6;17
0;882;2;6;18
0;883;2;6;19
0;884;2;6;20
0;885;2;6;21
0;886;2;6;22
0;887;2;6;23
0;888;2;6;24
0;889;2;7;1
0;890;2;7;2
0;891;2;7;3
0;892;2;7;4
0;893;2;7;5
0;894;2;7;6
0;895;2;7;7
0;896;2;7;8
0;897;2;7;9
0;898;2;7;10
0;899;2;7;11
0;900;2;7;12
0;901;2;7;13
0;902;2;7;14
0;903;2;7;15
0;904;2;7;16
0;905;2;7;17
0;906;2;7;18
0;907;2;7;19
0;908;2;7;20
0;909;2;7;21
0;910;2;7;22
0;911;2;7;23
0;912;2;7;24
0;913;2;8;1
0;914;2;8;2
0;915;2;8;3
0;916;2;8;4
0;917;2;8;5
0;918;2;8;6
0;919;2;8;7
0;920;2;8;8
0;921;2;8;9
0;922;2;8;10
0;923;2;8;11
0;924;2;8;12
0;925;2;8;13
0;926;2;8;14
0;927;2;8;15
0;928;2;8;16
0;929;2;8;17
0;930;2;8;18
0;931;2;8;19
0;932;2;8;20
0;933;2;8;21
0;934;2;8;22
0;935;2;8;23
0;936;2;8;24
0;937;2;9;1
0;938;2;9;2
0;939;2;9;3
0;940;2;9;4
0;941;2;9;5
0;942;2;9;6
0;943;2;9;7
0;944;2;9;8
0;945;2;9;9
0;946;2;9;10
0;947;2;9;11
0;948;2;9;12
0;949;2;9;13
0;950;2;9;14
0;951;2;9;15
0;952;2;9;16
0;953;2;9;17
0;954;2;9;18
0;955;2;9;19
0;956;2;9;20
0;957;2;9;21
0;958;2;9;22
0;959;2;9;23
0;960;2;9;24
0;961;2;10;1
0;962;2;10;2
0;963;2;10;3
0;964;2;10;4
0;965;2;10;5
0;966;2;10;6
0;967;2;10;7
0;968;2;10;8
0;969;2;10;9
0;970;2;10;10
0;971;2;10;11
0;972;2;10;12
0;973;2;10;13
0;974;2;10;14
0;975;2;10;15
0;976;2;10;16
0;977;2;10;17
0;978;2;10;18
0;979;2;10;19
0;980;2;10;20
0;981;2;10;21
0;982;2;10;22
0;983;2;10;23
0;984;2;10;24
0;985;2;11;1
0;986;2;11;2
0;987;2;11;3
0;988;2;11;4
0;989;2;11;5
0;990;2;11;6
0;991;2;11;7
0;992;2;11;8
0;993;2;11;9
0;994;2;11;10
0;995;2;11;11
0;996;2;11;12
0;997;2;11;13
0;998;2;11;14
0;999;2;11;15
0;1000;2;11;16
0;1001;2;11;17
0;1002;2;11;18
0;1003;2;11;19
0;1004;2;11;20
0;1005;2;11;21
0;1006;2;11;22
0;1007;2;11;23
0;1008;2;11;24
0;1009;2;12;1
0;1010;2;12;2
0;1011;2;12;3
0;1012;2;12;4
0;1013;2;12;5
0;1014;2;12;6
0;1015;2;12;7
0;1016;2;12;8
0;1017;2;12;9
0;1018;2;12;10
0;1019;2;12;11
0;1020;2;12;12
0;1021;2;12;13
0;1022;2;12;14
0;1023;2;12;15
0;1024;2;12;16
0;1025;2;12;17
0;1026;2;12;18
0;1027;2;12;19
0;1028;2;12;20
0;1029;2;12;21
0;1030;2;12;22
0;1031;2;12;23
0;1032;2;12;24
0;1033;2;13;1
0;1034;2;13;2
0;1035;2;13;3
0;1036;2;13;4
0;1037;2;13;5
0;1038;2;13;6
0;1039;2;13;7
0;1040;2;13;8
0;1041;2;13;9
0;1042;2;13;10
0;1043;2;13;11
0;1044;2;13;12
0;1045;2;13;13
0;1046;2;13;14
0;1047;2;13;15
0;1048;2;13;16
0;1049;2;13;17
0;1050;2;13;18
0;1051;2;13;19
0;1052;2;13;20
0;1053;2;13;21
0;1054;2;13;22
0;1055;2;13;23
0;1056;2;13;24
0;1057;2;14;1
0;1058;2;14;2
0;1059;2;14;3
0;1060;2;14;4
0;1061;2;14;5
0;1062;2;14;6
0;1063;2;14;7
0;1064;2;14;8
0;1065;2;14;9
0;1066;2;14;10
0;1067;2;14;11
0;1068;2;14;12
0;1069;2;14;13
0;1070;2;14;14
0;1071;2;14;15
0;1072;2;14;16
0;1073;2;14;17
0;1074;2;14;18
0;1075;2;14;19
0;1076;2;14;20
0;1077;2;14;21
0;1078;2;14;22
0;1079;2;14;23
0;1080;2;14;24
0;1081;2;15;1
0;1082;2;15;2
0;1083;2;15;3
0;1084;2;15;4
0;1085;2;15;5
0;1086;2;15;6
0;1087;2;15;7
0;1088;2;15;8
0;1089;2;15;9
0;1090;2;15;10
0;1091;2;15;11
0;1092;2;15;12
0;1093;2;15;13
0;1094;2;15;14
0;1095;2;15;15
0;1096;2;15;16
0;1097;2;15;17
0;1098;2;15;18
0;1099;2;15;19
0;1100;2;15;20
0;1101;2;15;21
0;1102;2;15;22
0;1103;2;15;23
0;1104;2;15;24
0;1105;2;16;1
0;1106;2;16;2
0;1107;2;16;3
0;1108;2;16;4
0;1109;2;16;5
0;1110;2;16;6
0;1111;2;16;7
0;1112;2;16;8
0;1113;2;16;9
0;1114;2;16;10
0;1115;2;16;11
0;1116;2;16;12
0;1117;2;16;13
0;1118;2;16;14
0;1119;2;16;15
0;1120;2;16;16
0;1121;2;16;17
0;1122;2;16;18
0;1123;2;16;19
0;1124;2;16;20
0;1125;2;16;21
0;1126;2;16;22
0;1127;2;16;23
0;1128;2;16;24
0;1129;2;17;1
0;1130;2;17;2
0;1131;2;17;3
0;1132;2;17;4
0;1133;2;17;5
0;1134;2;17;6
0;1135;2;17;7
0;1136;2;17;8
0;1137;2;17;9
0;1138;2;17;10
0;1139;2;17;11
0;1140;2;17;12
0;1141;2;17;13
0;1142;2;17;14
0;1143;2;17;15
0;1144;2;17;16
0;1145;2;17;17
0;1146;2;17;18
0;1147;2;17;19
0;1148;2;17;20
0;1149;2;17;21
0;1150;2;17;22
0;1151;2;17;23
0;1152;2;17;24
0;1153;2;18;1
0;1154;2;18;2
0;1155;2;18;3
0;1156;2;18;4
0;1157;2;18;5
0;1158;2;18;6
0;1159;2;18;7
0;1160;2;18;8
0;1161;2;18;9
0;1162;2;18;10
0;1163;2;18;11
0;1164;2;18;12
0;1165;2;18;13
0;1166;2;18;14
0;1167;2;18;15
0;1168;2;18;16
0;1169;2;18;17
0;1170;2;18;18
0;1171;2;18;19
0;1172;2;18;20
0;1173;2;18;21
0;1174;2;18;22
0;1175;2;18;23
0;1176;2;18;24
0;1177;2;19;1
0;1178;2;19;2
0;1179;2;19;3
0;1180;2;19;4
0;1181;2;19;5
0;1182;2;19;6
0;1183;2;19;7
0;1184;2;19;8
0;1185;2;19;9
0;1186;2;19;10
0;1187;2;19;11
0;1188;2;19;12
0;1189;2;19;13
0;1190;2;19;14
0;1191;2;19;15
0;1192;2;19;16
0;1193;2;19;17
0;1194;2;19;18
0;1195;2;19;19
0;1196;2;19;20
0;1197;2;19;21
0;1198;2;19;22
0;1199;2;19;23
0;1200;2;19;24
0;1201;2;20;1
0;1202;2;20;2
0;1203;2;20;3
0;1204;2;20;4
0;1205;2;20;5
0;1206;2;20;6
0;1207;2;20;7
0;1208;2;20;8
0;1209;2;20;9
0;1210;2;20;10
0;1211;2;20;11
0;1212;2;20;12
0;1213;2;20;13
0;1214;2;20;14
0;1215;2;20;15
0;1216;2;20;16
0;1217;2;20;17
0;1218;2;20;18
0;1219;2;20;19
0;1220;2;20;20
0;1221;2;20;21
0;1222;2;20;22
0;1223;2;20;23
0;1224;2;20;24
0;1225;2;21;1
0;1226;2;21;2
0;1227;2;21;3
0;1228;2;21;4
0;1229;2;21;5
0;1230;2;21;6
0;1231;2;21;7
0;1232;2;21;8
0;1233;2;21;9
0;1234;2;21;10
0;1235;2;21;11
0;1236;2;21;12
0;1237;2;21;13
0;1238;2;21;14
0;1239;2;21;15
0;1240;2;21;16
0;1241;2;21;17
0;1242;2;21;18
0;1243;2;21;19
0;1244;2;21;20
0;1245;2;21;21
0;1246;2;21;22
0;1247;2;21;23
0;1248;2;21;24
0;1249;2;22;1
0;1250;2;22;2
0;1251;2;22;3
0;1252;2;22;4
0;1253;2;22;5
0;1254;2;22;6
0;1255;2;22;7
0;1256;2;22;8
0;1257;2;22;9
0;1258;2;22;10
0;1259;2;22;11
0;1260;2;22;12
0;1261;2;22;13
0;1262;2;22;14
0;1263;2;22;15
0;1264;2;22;16
0;1265;2;22;17
0;1266;2;22;18
0;1267;2;22;19
0;1268;2;22;20
0;1269;2;22;21
0;1270;2;22;22
0;1271;2;22;23
0;1272;2;22;24
0;1273;2;23;1
0;1274;2;23;2
0;1275;2;23;3
0;1276;2;23;4
0;1277;2;23;5
0;1278;2;23;6
0;1279;2;23;7
0;1280;2;23;8
0;1281;2;23;9
0;1282;2;23;10
0;1283;2;23;11
0;1284;2;23;12
0;1285;2;23;13
0;1286;2;23;14
0;1287;2;23;15
0;1288;2;23;16
0;1289;2;23;17
0;1290;2;23;18
0;1291;2;23;19
0;1292;2;23;20
0;1293;2;23;21
0;1294;2;23;22
0;1295;2;23;23
0;1296;2;23;24
0;1297;2;24;1
0;1298;2;24;2
0;1299;2;24;3
0;1300;2;24;4
0;1301;2;24;5
0;1302;2;24;6
0;1303;2;24;7
0;1304;2;24;8
0;1305;2;24;9
0;1306;2;24;10
0;1307;2;24;11
0;1308;2;24;12
0;1309;2;24;13
0;1310;2;24;14
0;1311;2;24;15
0;1312;2;24;16
0;1313;2;24;17
0;1314;2;24;18
0;1315;2;24;19
0;1316;2;24;20
0;1317;2;24;21
0;1318;2;24;22
0;1319;2;24;23
0;1320;2;24;24
0;1321;2;25;1
0;1322;2;25;2
0;1323;2;25;3
0;1324;2;25;4
0;1325;2;25;5
0;1326;2;25;6
0;1327;2;25;7
0;1328;2;25;8
0;1329;2;25;9
0;1330;2;25;10
0;1331;2;25;11
0;1332;2;25;12
0;1333;2;25;13
0;1334;2;25;14
0;1335;2;25;15
0;1336;2;25;16
0;1337;2;25;17
0;1338;2;25;18
0;1339;2;25;19
0;1340;2;25;20
0;1341;2;25;21
0;1342;2;25;22
0;1343;2;25;23
0;1344;2;25;24
0;1345;2;26;1
0;1346;2;26;2
0;1347;2;26;3
0;1348;2;26;4
0;1349;2;26;5
0;1350;2;26;6
0;1351;2;26;7
0;1352;2;26;8
0;1353;2;26;9
0;1354;2;26;10
0;1355;2;26;11
0;1356;2;26;12
0;1357;2;26;13
0;1358;2;26;14
0;1359;2;26;15
